lang,iso_code,wals_code,script,variety,name,family,genus,d_gen,d_geo,d_syn,d_inv,d_pho,d_fea,20A,21A,21B,22A,23A,24A,25A,25B,26A,27A,28A,29A,ttr_flores,rttr_flores,cttr_flores,mattr_flores,ttr_ud,ttr_sd,msp_ud,msp_sd,ws_ud,ws_sd,wh_ud,wh_sd,lh_ud,lh_sd,is_ud,is_sd,mfh_ud,mfh_sd,-ia_ud,-ia_sd,h_dep_avg,h_codep_avg,train_frac_estimate
ace_Arab,ace,ace,Arab,achi1257,Acehnese (Arabic script),Austronesian,Malayo-Sumbawan,1.0,0.5,0.67,0.4738,0.5687,0.6,,,,,1.0,1.0,1.0,2.0,1.0,,,,0.2677527551509343,38.68077553234192,27.351438680473656,0.5660766776299851,,,,,,,,,,,,,,,,,,,1.1292580453825333e-06
ace_Latn,ace,ace,Latn,achi1257,Acehnese (Latin script),Austronesian,Malayo-Sumbawan,1.0,0.5,0.67,0.4738,0.5687,0.6,,,,,1.0,1.0,1.0,2.0,1.0,,,,0.2732366183091546,38.63183155384433,27.316830061379765,0.5751670001539243,,,,,,,,,,,,,,,,,,,0.0004770782463453
acm_Arab,acm,arq,Arab,meso1252,Mesopotamian Arabic,Afro-Asiatic,Semitic,1.0,0.2,0.68,0.5983,0.5687,0.8,,,,,,,,,4.0,,,,0.472761109857884,62.953605011457775,44.51492100374122,0.7860247200139443,,,,,,,,,,,,,,,,,,,0.0
acq_Arab,acq,,Arab,taiz1242,Taʽizzi-Adeni Arabic,Eastern Sudanic,Eastern Nilotic,1.0,0.3,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.4683356258596974,63.138521104930426,44.64567642738624,0.7763434034849569,,,,,,,,,,,,,,,,,,,0.0
aeb_Arab,aeb,atu,Arab,tuni1259,Tunisian Arabic,Afro-Asiatic,Semitic,1.0,0.1,0.93,0.5983,0.5687,1.0,,,,,,,,,,,,,0.4683494710919572,62.60310195267882,44.26707791405199,0.7573709120221075,,,,,,,,,,,,,,,,,,,0.0
afr_Latn,afr,afr,Latn,afri1274,Afrikaans,Indo-European,Germanic,0.6,0.4,0.63,0.5144,0.5687,0.6,,,,,,,,,,,,,0.2271141946371648,37.08643367489884,26.2240687415461,0.5111791638003478,0.168628,0.002374534902,1.148436674,0.004036106645,0.543985029,0.01145824773,8.941647741,0.02190106666,8.775155967,0.02028307541,3.0,0.0,3.867341943,0.5501693385,-0.6670442898,0.0,0.5623483705682986,0.4623736165006444,0.0037800207238562
als_Latn,als,,Latn,tosk1239,Albanian (Tosk),Eastern Sudanic,Eastern Nilotic,0.75,0.1,0.55,0.4838,0.2736,0.5,,,,,,,,,,,,,0.2721968543886352,45.21582215677427,31.97241446398004,0.5355232330688441,,,,,,,,,,,,,,,,,,,0.0129289789331282
amh_Ethi,amh,amh,Ethi,amha1245,Amharic,Afro-Asiatic,Semitic,1.0,0.3,0.61,0.492,0.4816,0.5,,,,,,,,,3.0,1.0,,,0.4104115022310362,58.28710333743235,41.21520602561946,0.697713588531343,,,,,,,,,,,,,,,,,,,0.0025865751260227
apc_Arab_nort3139,apc,anl,Arab,nort3139,Levantine Arabic (North),Afro-Asiatic,Semitic,1.0,0.2,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,0.4849091016061658,63.21883275921834,44.70246534274155,0.7829112619711533,,,,,,,,,,,,,,,,,,,0.0
apc_Arab_sout3123,apc,,Arab,sout3123,Levantine Arabic (South),Eastern Sudanic,Eastern Nilotic,1.0,0.2,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,0.4499408417375626,59.94353644986402,42.38648111200183,0.738997681159406,,,,,,,,,,,,,,,,,,,0.0
arb_Arab,arb,ams,Arab,stan1318,Modern Standard Arabic,Afro-Asiatic,Semitic,1.0,0.2,0.67,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,0.3825104374659648,56.78186750539839,40.15084356150327,0.6714834935227875,,,,,,,,,,,,,,,,,,,0.0005066411753174
arb_Latn,arb,ams,Latn,stan1318,Modern Standard Arabic (Romanized),Afro-Asiatic,Semitic,1.0,0.2,0.67,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,0.4131155303030303,60.03693031704685,42.452520548808046,0.6838565539983344,,,,,,,,,,,,,,,,,,,0.0
ars_Arab,ars,,Arab,najd1235,Najdi Arabic,Eastern Sudanic,Eastern Nilotic,1.0,0.2,0.79,0.5983,0.5687,0.9,,,,,,,,,,,,,0.4566836324671846,62.39207708635995,44.11786080007892,0.7640548277001111,,,,,,,,,,,,,,,,,,,0.0
ary_Arab,ary,amr,Arab,moro1292,Moroccan Arabic,Afro-Asiatic,Semitic,1.0,0.1,0.64,0.5503,0.8886,0.6,,,,,,,,,3.0,,,,0.4710661581827226,63.36321382467389,44.80455817320011,0.7608199386154457,,,,,,,,,,,,,,,,,,,1.1292580453825333e-06
arz_Arab,arz,aeg,Arab,egyp1253,Egyptian Arabic,Afro-Asiatic,Semitic,1.0,0.2,0.62,0.4688,0.427,0.5,6.0,5.0,3.0,4.0,4.0,4.0,5.0,2.0,3.0,1.0,1.0,2.0,0.4365435570215757,59.36510874103728,41.97747095666425,0.7492927642547546,,,,,,,,,,,,,,,,,,,1.1292580453825333e-06
asm_Beng,asm,ass,Beng,assa1263,Assamese,Indo-European,Indic,0.9,0.4,0.81,0.4638,0.5687,0.6,,,,,,,,,2.0,1.0,,,0.4068770958641614,55.768884880241686,39.434556678030816,0.7649199475065556,,,,,,,,,,,,,,,,,,,0.0020185523118344
ast_Latn,ast,ast,Latn,astu1245,Asturian,Indo-European,Romance,0.9,0.1,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.3018677678014116,43.56423597594103,30.804566675798856,0.6048058835104169,,,,,,,,,,,,,,,,,,,0.0
awa_Deva,awa,awd,Deva,awad1243,Awadhi,Indo-European,Indic,0.9,0.4,0.88,0.5166,0.5687,0.7,,,,,,,,,,,,,0.2161806440998642,33.70824031878387,23.835325311277867,0.5610084824053194,,,,,,,,,,,,,,,,,,,0.0007386800900609
ayr_Latn,ayr,aym,Latn,cent2142,Central Aymara,Aymaran,Aymaran,1.0,0.5,0.67,0.5978,0.5879,0.6,1.0,1.0,2.0,5.0,3.0,3.0,3.0,2.0,2.0,1.0,1.0,2.0,0.5081926514399205,64.50644487173409,45.61294459903937,0.77742573496445,,,,,,,,,,,,,,,,,,,0.0004306311499727
azb_Arab,azb,azi,Arab,sout2697,South Azerbaijani,Altaic,Turkic,1.0,0.2,0.75,0.5514,0.3433,0.6,,,,,,,,,2.0,,,,0.3442423010468544,48.28972299870223,34.145990594002335,0.6194179050002602,,,,,,,,,,,,,,,,,,,0.0014011931563633
azj_Latn,azj,,Latn,nort2697,North Azerbaijani,Eastern Sudanic,Eastern Nilotic,1.0,0.2,0.57,0.5491,0.5687,0.7,,,,,,,,,,,,,0.4258972943125345,57.314446966123455,40.52743410970265,0.7663413775481193,,,,,,,,,,,,,,,,,,,0.018086361694064
bak_Cyrl,bak,bsk,Cyrl,bash1264,Bashkir,Altaic,Turkic,1.0,0.2,0.74,0.4286,0.3064,0.5,,,,,,,,,2.0,,,,0.4312936442182506,56.064856006794585,39.6438398686518,0.7667405329593301,,,,,,,,,,,,,,,,,,,0.0025195406325313
bam_Latn,bam,bam,Latn,bamb1269,Bambara,Mande,Western Mande,1.0,0.2,0.67,0.5032,0.39,0.6,,,,,,,,,2.0,,1.0,1.0,0.2464869845657682,36.31398308402509,25.677863690607715,0.5190940299915064,,,,,,,,,,,,,,,,,,,0.000444563163691
ban_Latn,ban,bal,Latn,bali1278,Balinese,Austronesian,Malayo-Sumbawan,1.0,0.6,1.0,0.5233,0.5687,0.7,,,,,,,,,,1.0,,,0.2804492986179409,38.98043483482456,27.563329805304765,0.5873035069075371,,,,,,,,,,,,,,,,,,,0.0003572514406791
bel_Cyrl,bel,blr,Cyrl,bela1254,Belarusian,Indo-European,Slavic,0.9,0.1,0.76,0.5983,0.5687,0.9,,,,,,,,,2.0,,,,0.4061929885114146,57.84650239519269,40.90365411156461,0.7292618542108763,,,,,,,,,,,,,,,,,0.4175179110458715,0.6696258174680465,0.0119503151886116
bem_Latn,bem,bem,Latn,bemb1257,Bemba,Niger-Congo,Bantu,1.0,0.4,0.79,0.5043,0.5687,0.6,,,,,,,,,,,,,0.321389346512905,47.50912944435134,33.59402759837031,0.6591699526998612,,,,,,,,,,,,,,,,,,,0.0013563891641804
ben_Beng,ben,ben,Beng,beng1280,Bengali,Indo-European,Indic,0.875,0.4,0.7,0.4982,0.4054,0.6,,,,,,,,,,,,,0.3109848148477044,46.67052220827748,33.00104273499038,0.659838804885811,,,,,,,,,,,,,,,,,,,0.0217096525971591
bho_Deva,bho,bho,Deva,bhoj1244,Bhojpuri,Indo-European,Indic,0.9,0.4,0.68,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,0.2338007135153074,36.30014905440847,25.66808155445468,0.5624663870885791,,,,,,,,,,,,,,,,,,,0.0013456598451672
bjn_Arab,bjn,,Arab,banj1239,Banjar (Jawi script),Eastern Sudanic,Eastern Nilotic,1.0,0.6,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.3931391518067249,54.36561545023617,38.44229534824213,0.6416560352233686,,,,,,,,,,,,,,,,,,,1.1292580453825333e-06
bjn_Latn,bjn,,Latn,banj1239,Banjar (Latin script),Eastern Sudanic,Eastern Nilotic,1.0,0.6,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.2861463678098839,38.93588905697114,27.53183118371138,0.6131294404973318,,,,,,,,,,,,,,,,,,,0.0005795998516985
bod_Tibt,bod,tib,Tibt,utsa1239,Lhasa Tibetan,Sino-Tibetan,Bodic,1.0,0.4,0.78,0.5252,0.4477,0.6,1.0,1.0,2.0,3.0,2.0,2.0,2.0,2.0,,,,,0.162128751120314,29.16380339354192,20.62192314476474,0.5474515663255769,,,,,,,,,,,,,,,,,,,0.000148254459232
bos_Latn,bos,bos,Latn,bosn1245,Bosnian,Indo-European,Slavic,0.9,0.1,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,0.4025703730683178,55.80938072071374,39.46319156143846,0.6877444444444324,,,,,,,,,,,,,,,,,,,0.014832167497575
brx_Deva,brx,bod,Deva,bodo1269,Bodo,Sino-Tibetan,Brahmaputran,1.0,0.4,0.71,0.5256,0.3433,0.6,,,,,,,,,2.0,,,,0.4345291479820627,58.03852130401799,41.03943198411103,0.7596620725448167,,,,,,,,,,,,,,,,,,,0.0
bug_Latn,bug,bug,Latn,bugi1244,Buginese,Austronesian,South Sulawesi,1.0,0.6,0.71,0.5119,0.5687,0.6,,,,,,,,,,,,,0.3795582139671546,52.399657630927294,37.05215324268211,0.6620733836206998,,,,,,,,,,,,,,,,,,,0.0003632762776043
bul_Cyrl,bul,bul,Cyrl,bulg1262,Bulgarian,Indo-European,Slavic,0.8571,0.1,0.48,0.521,0.2804,0.5,,,,,,,,,2.0,,,,0.3035671342685371,47.95015615146525,33.90588057365492,0.567364443172071,0.3551605,0.003757081946,1.430487855,0.00425175335,0.46335577,0.006329397945,10.54129902,0.02365964578,9.801146364,0.02500446459,9.6,0.4898979486,3.7559373,0.5933548429,-0.3490676305,0.0,0.4741220041274399,0.6810344227417745,0.0
cat_Latn,cat,ctl,Latn,stan1289,Catalan,Indo-European,Romance,0.9,0.1,0.53,0.4581,0.2804,0.5,,,,,,,,,,3.0,,,0.2224662692187009,37.67701240656604,26.641670967532523,0.5118151433437397,0.2578375,0.003072217237,1.252523247,0.004876422929,0.4262502014,0.007666236009,9.447236817,0.02342034076,8.749057703,0.02735313086,6.0,0.0,3.552881864,0.3368584395,-0.517017017,0.0,0.3913597655460314,0.62481517904437,0.0
ceb_Latn,ceb,ceb,Latn,cebu1242,Cebuano,Austronesian,Greater Central Philippine,1.0,0.6,0.8,0.5371,0.5687,0.7,,,,,,,,,,,,,0.2263492964599975,35.54548878324374,25.134456159222008,0.4928199652346541,,,,,,,,,,,,,,,,,,,0.0039583785804676
ces_Latn,ces,cze,Latn,czec1258,Czech,Indo-European,Slavic,0.9,0.1,0.66,0.5368,0.5687,0.6,,,,,,,,,3.0,,,,0.380997177798683,56.92434450371649,40.25159001317711,0.6576810850440058,0.4080221666666666,0.0039698737363333,1.509301801,0.0039508696403333,0.4116308982333334,0.0054561767609999,11.21911277,0.0224706643566666,10.207946061666666,0.0276421296333333,11.4,0.5199633111,3.9536920283333337,0.7763187696,-0.3273692854333333,0.0,0.5675276288157657,0.8729961845050049,0.0
chv_Cyrl,chv,chv,Cyrl,chuv1255,Chuvash,Altaic,Turkic,1.0,0.2,0.75,0.5319,0.3433,0.6,,,,,,,,,2.0,,,,0.4390787518573551,58.081339951141445,41.06970933985325,0.795556444496749,,,,,,,,,,,,,,,,,,,0.0005324427067502
cjk_Latn,cjk,,Latn,chok1245,Chokwe,Eastern Sudanic,Eastern Nilotic,1.0,0.4,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.3808669809387169,53.20699455257253,37.62302665467973,0.7002325287900242,,,,,,,,,,,,,,,,,,,0.0006982831764665
ckb_Arab,ckb,krd,Arab,cent1972,Central Kurdish,Indo-European,Iranian,0.9,0.2,0.92,0.5983,0.5687,0.9,,,,,,,,,3.0,,,,0.4093196351818849,56.536510602754205,39.97735003183264,0.722619301361735,,,,,,,,,,,,,,,,,,,0.0020253227544673
cmn_Hans,cmn,mnd,Hans,beij1234,Mandarin Chinese (Standard Beijing),Sino-Tibetan,Chinese,1.0,0.4,0.55,0.5926,0.39,0.6,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.2427180560025748,38.266408661690924,27.058437056337286,0.5766596050416682,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,,,0.0
cmn_Hant,cmn,mnd,Hant,taib1240,Mandarin Chinese (Taiwanese),Sino-Tibetan,Chinese,1.0,0.4,0.55,0.5926,0.39,0.6,7.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,0.276319572807558,43.11382337808192,30.48607687352083,0.6014526545332392,0.3006155,0.003523320132,1.000835208,0.0001153559631,0.5520700313,0.008997585952,10.78694394,0.02728879498,10.77949026,0.0235474244,1.0,0.0,2.741359573,0.1482558246,-0.998998999,0.0,,,0.0
crh_Latn,crh,cri,Latn,crim1257,Crimean Tatar,Altaic,Turkic,1.0,0.1,0.57,0.5983,0.805,0.9,,,,,,,,,,,,,0.4502522585943916,58.785083862421736,41.56733143173829,0.7584797244213408,,,,,,,,,,,,,,,,,,,0.0006967565902634
cym_Latn,cym,wel,Latn,wels1247,Welsh,Indo-European,Celtic,0.9,0.0,0.57,0.5983,0.5687,0.8,,,,,,,,,2.0,3.0,,,0.2226671672298001,34.476040066583536,24.37824171954033,0.5515587458464848,,,,,,,,,,,,,,,,,,,0.0035873129204666
dan_Latn,dan,dsh,Latn,dani1285,Danish,Indo-European,Germanic,0.7,0.0,0.5,0.5983,0.5687,0.7,,,,,,,,,2.0,,,,0.2673973272490221,41.89186864697411,29.622024396851515,0.5510269910584462,,,,,,,,,,,,,,,,,0.4537831717972017,0.5687595097933965,0.0
deu_Latn,deu,ger,Latn,stan1295,German,Indo-European,Germanic,0.4286,0.1,0.42,0.4364,0.3277,0.4,1.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,0.2808970828843928,44.46610581581483,31.44228495532124,0.5721811889250759,,,,,,,,,,,,,,,,,0.5519564383964074,0.6136455718816275,0.0
dgo_Deva,dgo,dgi,Deva,dogr1250,Dogri,Indo-European,Indic,0.9,0.3,0.9,0.5983,0.5687,0.9,,,,,,,,,,,,,0.2371175850036517,37.22519532200389,26.322188043182702,0.5896990102290058,,,,,,,,,,,,,,,,,,,0.0
dik_Latn,dik,,Latn,sout2832,Southwestern Dinka,Eastern Sudanic,Eastern Nilotic,1.0,0.3,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.2031375703942075,30.385197999053307,21.48557955282651,0.4999873828571406,,,,,,,,,,,,,,,,,,,0.0003678892228702
dyu_Latn,dyu,dyu,Latn,dyul1238,Dyula,Mande,Western Mande,1.0,0.2,0.57,0.4752,0.5687,0.6,,,,,,,,,,,,,0.3054396903891636,46.57830096551643,32.93583246886459,0.6286529267006539,,,,,,,,,,,,,,,,,,,0.0007132496292114
dzo_Tibt,dzo,,Tibt,dzon1239,Dzongkha,Eastern Sudanic,Eastern Nilotic,1.0,0.4,0.57,0.5983,0.5687,0.6,,,,,,,,,,,,,0.9010471998785856,73.14039393986857,51.71806853353653,0.9466778325123222,,,,,,,,,,,,,,,,,,,1.1725830432160371e-05
ekk_Latn,ekk,est,Latn,esto1258,Estonian,Uralic,Finnic,1.0,0.1,0.69,0.5983,0.5687,0.8,,,,,,,,,2.0,,,,0.4138204924543288,58.73336041041143,41.53075742807543,0.664416798167491,0.4908085,0.004143989955,1.471287946,0.004032261988,0.4581399005,0.005388463061,11.89101568,0.02754823649,10.86535025,0.03447262611,9.93,0.4063249931,3.704047588,0.6488342858,-0.1770093447,0.0,,,0.0
ell_Grek,ell,grk,Grek,mode1248,Greek,Indo-European,Greek,0.8333,0.1,0.52,0.5516,0.195,0.5,1.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,0.2950345981294198,47.84839058405515,33.833921450847946,0.5815503623609624,0.2487795,0.003433846932,1.613331432,0.004359958489,0.5169611596,0.007327460445,9.696859999,0.02057792113,8.351142064,0.02188137361,9.0,0.0,3.668587514,0.509442181,-0.3470446494,0.0,0.4151166361668909,0.6754410575827845,0.0
eng_Latn,eng,eng,Latn,stan1293,English,Indo-European,Germanic,0.0,0.0,0.0,0.0,0.0002,0.0,1.0,5.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,0.2335391771593552,36.87996973664817,26.07807669073857,0.5436593150292637,0.21322975,0.00280262133025,1.1999853225,0.003989466543,0.3447120456,0.0072129421485,9.6080137905,0.0268911208775,9.191172055,0.02551200588,6.1375,0.2363814489,3.72410539275,0.361524383475,-0.67024734315,0.0,0.3612439683565323,0.3844439063173674,0.3289541778517688
epo_Latn,epo,,Latn,espe1235,Esperanto,Eastern Sudanic,Eastern Nilotic,1.0,0.0,0.73,0.5983,0.5687,0.8,,,,,,,,,,,,,0.3344983031960695,47.00028504495311,33.234220272987024,0.6157938058615605,,,,,,,,,,,,,,,,,,,0.014942533917982
eus_Latn,eus,bsq,Latn,basq1248,Basque,Basque,Basque,1.0,0.1,0.61,0.6205,0.3498,0.6,1.0,1.0,1.0,3.0,3.0,2.0,5.0,2.0,4.0,1.0,2.0,3.0,0.3450618122537698,51.27739277082763,36.25859214981827,0.6301535396590038,0.3767215,0.003945125188,1.779372454,0.004188887633,0.5698891725,0.00639943772,11.32465899,0.02550663366,9.678489659,0.02305751699,19.13,1.411771936,3.76816246,0.7769198296,-0.3170176164,0.0,0.6524873930407307,0.8742562979384555,0.0
ewe_Latn,ewe,ewe,Latn,ewee1241,Ewe,Niger-Congo,Gbe,1.0,0.3,0.66,0.5249,0.3695,0.6,,,,,4.0,2.0,5.0,1.0,4.0,1.0,1.0,2.0,0.1974485116317852,30.57966891724197,21.623091257821287,0.5072291906160753,,,,,,,,,,,,,,,,,,,0.0024143425780275
fao_Latn,fao,far,Latn,faro1244,Faroese,Indo-European,Germanic,0.7,0.1,0.61,0.5983,0.5687,0.8,,,,,,,,,,,,,0.2794075877459931,43.86343179938055,31.01613007145563,0.5519764764350272,,,,,,,,,,,,,,,,,,,0.0005360801101878
fij_Latn,fij,fij,Latn,fiji1243,Fijian,Austronesian,Oceanic,1.0,0.8,0.66,0.5233,0.4638,0.6,2.0,5.0,1.0,4.0,1.0,1.0,1.0,2.0,1.0,2.0,2.0,1.0,0.1187940761636107,20.00543032766865,14.145975445249515,0.3820318007250325,,,,,,,,,,,,,,,,,,,0.0012372760539751
fil_Latn,fil,,Latn,fili1244,Filipino,Eastern Sudanic,Eastern Nilotic,1.0,0.6,0.57,0.458,0.5687,0.6,,,,,,,,,,,,,0.2273790178748365,36.11749472967273,25.53892544282097,0.4956520297590085,,,,,,,,,,,,,,,,,,,0.0
fin_Latn,fin,fin,Latn,finn1318,Finnish,Uralic,Finnic,1.0,0.1,0.53,0.4694,0.2736,0.5,1.0,2.0,1.0,2.0,2.0,3.0,5.0,2.0,2.0,3.0,3.0,3.0,0.4636064180214642,63.60369174548988,44.97460174173473,0.6907436555149258,0.49185625,0.0045681495215,1.6473674535,0.0041420045035,0.51525612905,0.0061992570845,11.9248204,0.02699064425,10.52468358,0.03468530106,16.645,0.3949820872999999,3.7842248115,0.76835147515,-0.18550286815,0.0,0.5589332145876035,0.686841632123994,0.0
fon_Latn,fon,fon,Latn,fonn1241,Fon,Niger-Congo,Gbe,1.0,0.3,0.65,0.492,0.5687,0.6,,,,,,,,,,,,,0.1763473362415415,30.08932076774208,21.27636275616764,0.4484324456559665,,,,,,,,,,,,,,,,,,,0.0011371548285524
fra_Latn,fra,fre,Latn,stan1290,French,Indo-European,Romance,0.9,0.0,0.46,0.4753,0.427,0.5,1.0,5.0,2.0,3.0,4.0,2.0,5.0,2.0,2.0,3.0,3.0,2.0,0.2188639383923399,37.49350712182043,26.51191313630534,0.5282185246811001,0.254833,0.0033324219935,1.259284245,0.0041378975725,0.44809908045,0.007850307575,9.450808215,0.025368553565,8.647569557499999,0.028037943415,6.5,0.0,3.3477259725,0.26886062565,-0.5554926184,0.0,0.4039850921398672,0.4972663586153365,0.0224653116736396
fur_Latn,fur,,Latn,east2271,Friulian,Eastern Sudanic,Eastern Nilotic,0.9,0.1,0.57,0.4724,0.5687,0.6,,,,,,,,,,,,,0.2229600763480197,35.357278572923946,25.00137144321633,0.5260864943811236,,,,,,,,,,,,,,,,,,,0.000176528578925
fuv_Latn,fuv,fni,Latn,nige1253,Nigerian Fulfulde,Niger-Congo,Peul-Serer,1.0,0.2,1.0,0.4694,0.5687,0.6,,,,,,,,,,,,,0.2453746530989824,36.07925352179701,25.51188482541129,0.5797053169831007,,,,,,,,,,,,,,,,,,,0.0014414518530033
gaz_Latn,gaz,owc,Latn,west2721,West Central Oromo,Afro-Asiatic,Lowland East Cushitic,1.0,0.3,0.91,0.5983,0.5687,0.9,,,,,,,,,,,,,0.4198963618698046,57.15219854900781,40.41270715372338,0.759003494757849,,,,,,,,,,,,,,,,,,,0.0015867023727812
gla_Latn,gla,gae,Latn,scot1245,Scottish Gaelic,Indo-European,Celtic,0.9,0.0,0.55,0.5983,0.5687,0.7,,,,,,,,,3.0,3.0,,,0.2103253458016754,33.69475057983727,23.825786625392286,0.549994993244874,,,,,,,,,,,,,,,,,,,0.0014916164019469
gle_Latn,gle,iri,Latn,iris1253,Irish,Indo-European,Celtic,0.9,0.0,0.62,0.5193,0.5687,0.6,,,,,,,,,4.0,3.0,3.0,2.0,0.2248248457596988,38.08044452406061,26.926940553561383,0.5455197587797185,,,,,,,,,,,,,,,,,0.3806442227561202,0.2954942567819,0.004251864048641
glg_Latn,glg,glc,Latn,gali1258,Galician,Indo-European,Romance,0.9,0.1,0.67,0.4997,0.5687,0.6,,,,,,,,,,,,,0.2772361359570662,41.455841648648914,29.313706749555347,0.594510132198873,,,,,,,,,,,,,,,,,0.4454099987044514,0.590367762152982,0.0206896521366961
